CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
열무국수,삶기, 소면 식초 설탕 통깨 열무김치 오이 열무김치국물 시판육수 참기름 겨자 
감자샐러드,삶기, 감자중간 크키 햄 오이 양파 사과 마요네즈 소금 
고구마샐러드샌드위치,삶기, 작은고구마 계란 옥수수통조림 식빵 플레인요거트 요리당 소금 마요네즈
돼지고기샐러드,삶기, 돼지고기 안심 새싹채소 돼지고기 삶기 된장 양파 생강 마늘 통후추 물 마늘소스 다진마늘 매실청 식초 진간장 참기름 소금 통깨 
돼지고기보쌈,삶기, 돼지고기 앞다리 보쌈용 통마늘 양파 대파 청양고추 통생강 소주 계피 월계수잎 묵은 배추김치 속배추 봉지굴 무생채 된장 간장 새우젓 물 고춧가루 
물냉면,삶기, 냉면 사리 무 오이 삶은 달걀 육수 양지머리 양파 감초 대파 통마늘 통생강 통후추 월계수 국간장 소금 설탕 식초 물 단촛물 식초 설탕 소금 
감자어묵꼬치,삶기, 중앙에 구멍이 뚫린 어묵 막대 어묵 직사각형 어묵 감자 간장 집간장 
삼겹살수육,삶기, 돼지고기 삼겹살 알배기배추 쌈무 새우젓 천일염 삼겹살 삶기 양파 대파 계피 생강 마늘 통후추 된장 소주 물 무생채 무 배 부추 멸치액젓 고춧가루 설탕 다진마늘 천일염 통깨 
돼지고기보쌈,삶기, 돼지고기목심 참나물 된장 맥주 양파 토마토 소스 액젖 식초 설탕 고추가루 마늘 통깨
주꾸미샐러드,삶기, 주꾸미 어린잎채소 레몬즙 주꾸미세척용밀가루 간장 맛술 참깨 마요네즈 참기름 올리브오일 설탕 후춧가루 연겨자생략 가능 
부추제육샐러드,삶기, 돼지고기 된장 얼음물 크랜베리 양파 부추 시판참깨소스 겨자 매실액 액젓 땅콩분태 레몬즙 
메밀국수,삶기, 메밀국수 무 오이 당근 양배추 와사비 김가루 메밀국수 국물 멸치 다시마 작은것 물 진간장 설탕 청주 대파 가쓰오부시 
돼지고기보쌈,삶기, 삶은돼지고기 깻잎간장 장아찌 양파장아찌
열무국수,삶기, 소면 열무물김치 식초
단호박샐러드,삶기, 단호박 옥수수통조림 크렌베리 견과류 플레인요거트 마요네즈
콩국수,삶기, 콩 오이 토마토 견과류
감자삶는법,삶기, 감자 소금 설탕 
콩국수,삶기, 백태 소금 물 오이 토마토 달걀 얼음 
감자뇨끼,삶기,뇨끼 감자 계란 박력분 소스 베이컨 방울토마토또는토마토 양파 
감자샐러드,삶기, 감자中 오이 당근 슬라이스 햄 다진양파 마요네즈 소금 
스터프드에그,삶기, 달걀 오이 슬라이스 햄 파슬리 마요네즈 머스터드 소금 후춧가루 
