CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
고등어김치찜,찜, 고등어 신김치 양파 홍고추 청고추 대파 멸치다시마육수 국간장 고춧가루 설탕 청주 참기름 생강가루 마늘 후춧가루 
찜닭,찜, 닭 감자 당근 양파 파 생강 마늘 청양 고추 건고추 간장 국간장 맛술 설탕 물엿 굴소스 후추 참기름 통깨 닭육수 당면 청주 
조기찜,찜, 굴비 조선간장 청주 설탕 다진 마늘 다진 파 참기름 후춧가루 생강가루 홍고추 
매운돼지등갈비찜,찜, 돼지등갈비 감자 작은것 당근 양파 중 떡 대파 물 참기름 통깨 데칠물 물 청주 통후추 월계수 잎 장 사과 중 마늘 생강 간장 참치액 흑설탕 청주 물엿 고춧가루 후춧가루 
꼬막찜,찜, 꼬막 소금물 넉넉하게 간장 고춧가루 설탕 다진마늘 다진파 참기름 깨소금 
브로콜리달걀찜,찜, 달걀 데친 브로콜리 다진 양파 크레미맛살큰 것 우유 소금 후춧가루 
고구마초코볼,찜, 고구마中 건포도 초콜릿 아몬드 땅콩 꿀 소금 
매운갈비찜,찜, 돼지갈비 감자 당근 양파 물 고춧가루 진간장 다진마늘 다진 청양고추 설탕 물엿 양파즙 키위즙 맛술 참기름 소금 후춧가루 
계란찜,찜, 계란 양파 대파 마늘 물 새우젓 
돼지갈비김치찜,찜, 돼지갈비 신김치 감자 풋 고추 김칫국물 물 고추장 고춧가루 양조간장 양파 청주 다진파 다진 마늘 후추 
매운찜닭,찜, 닭 감자 고추 불린당면 물 양파 대파 다진 마늘 고춧가루 소금 후추 맛술 간장 설탕 물엿 맛술 참기름 
새우젓달걀찜,찜, 달걀 물 대파나 쪽파 청양고추 새우젓 후춧가루 달걀 설탕 
파프리카컵샐러드,찜, 고구마 감자 옥수수 파프리카 마요네즈 후추 소금 케찹 머스타드
매운갈비찜,찜, 돼지갈비 무 감자 당근 마늘 대파 간장 설탕 고춧가루 다진 대파 다진 마늘 깨 참기름 후추 
고구마찰떡케이크,찜, 찹쌀가루 멥쌀가루 고구마 작은크기 설탕 
양배추쌈,찜, 양배추잎 잡곡밥 미나리 식초 설탕 소금 두부고추장 쌈장 두부 고추장 참기름 마늘 
콩가루인절미,찜, 찹쌀가루소금 넣은 것 물 식용유 설탕 노란콩가루 푸른콩가루 
고구마아이스크림,찜, 고구마 우유 달걀 생크림 토핑용 고구마 설탕 
단호박떡케익,찜, 멥쌀가루 찹쌀가루 찐단호박 설탕 호박고지 불린것 
커피아몬드떡케이크,찜, 쌀가루 우유 커피가루 아몬드가루 설탕 버터 슈가파우더 아몬드조림 통아몬드 물 설탕 물엿 
꽈리고추찜,찜,꽈리고추찜 꽈리고추 밀가루 들깨가루 다진마늘 다진홍고추 다진파 참기름 설탕 조선간장 간장 감자찜 감자 간장 조선간장 다진파 다진마늘 다진홍고추 설탕 물엿 참기름 김가루 
찜닭,찜, 닭 당면 감자 양파 당근 청양고추 대파 마른 청양고추 고춧가루 닭육수 한번끓여주는용 물 대파 마늘 닭밑간 후추 청주 닭육수 간장 맛술 청주 설탕 
꼬막양념찜,찜, 꼬막 간장 고춧가루 깨 올리고당 참기름 잔파
매운쪽갈비찜,찜, 쪽갈비 고춧가루 엿장 다진 파 다진 마늘 생강즙 미림 사과즙 양파즙 꿀 매실 엑기스 참기름 
돼지갈비찜,찜, 돼지고기갈비 당근 감자 대추 양파 배 마늘 생강 간장 매실액 후추 참기름 설탕
꽃게,찜, 꽃게 물 된장 소주 
대구뽈찜,찜, 대구뽈 당근 양파 고추 대파 팽이버섯 콩나물 새우살 고추장 고춧가루 간장 설탕 올리고당 다진마늘 생강가루 후추 참기름
대파조기찜,찜, 참조기 물 대파 맛술 참기름 깨 후춧가루 
돼지고기김치찜,찜, 돼지갈비 묵은김치 양파 마늘 고추 김치국물 설탕 참기름 다진양파 다진마늘 매실액 다진생강
고구마말랭이찜빵,찜, 박력분 버터 설탕 달걀 베이킹파우더 고구마 말랭이 
등갈비김치찜,찜, 등갈비 묵은지 청양고추 홍고추 대파 등갈비 삶는 무 양파 마른고추 마늘 생강 대파 흰부분 대파 뿌리 월계수잎 된장 맛술 커피 마늘 매운고춧가루 
돼지등뼈찜,찜, 돼지등뼈 장 통마늘 깻잎 감자 당근 느타리버섯 청양고추 양파 진간장 양파 고춧가루 설탕 요리당 맛선생 후춧가루 깨소금 
김치말이영양밥,찜, 찹쌀 대추 밤 검은콩 묵은지 잎부분 부추 소금 통깨 깻잎 참기름 허브솔트 
등갈비김치찜,찜, 김장김치 등갈비 다진 마늘 참기름 설탕 김칫국물 멸치육수 
약밥,찜, 찹쌀물에 불린 후 물 간장 흑설탕 황설탕 참기름 계피가루 
뚝배기계란찜,찜, 달걀 멸치 다시물 파 참기름 청주 소금 고춧가루 
단호박송편,찜, 쌀가루 단호박 깨 꿀
김치고기만두,찜, 시판 찹쌀 만두피 신 김치 돼지고기 숙주나물 당면 부추 대파 두부 김치만두소 청양 고춧가루 섞은 고춧가루 후춧가루 고추기름 다진 마늘 들기름 소금 달걀 고기만두소 다진마늘 들기름 소금 후춧가루 달걀 
자색고구마약식,찜, 찹쌀 밤 대추 은행 자색고구마 물 간장 참기름 흑설탕 황설탕 꿀 
단호박해물버섯찜,찜, 단호박 모둠해물 새우 양파 버섯 피자치즈 소금 후추 고추장 고추장 핫소스 간장 청주 다진마늘 꿀 
옥수수달걀찜,찜, 달걀 청피망 홍피망 옥수수 소금 멸치육수 
매운등갈비찜,찜, 손질등갈비 돼지갈비 감자 대파 청양고추 생강 고기삶을 양파 마른고추 대파 파뿌리 커피 월계수잎 매운고춧가루 고추장 간장 양파 사과 다진마늘 참기름 굴소스 물엿 설탕 
배숙,찜, 배 건대추 꿀 
고구마볼,찜, 고구마 카스테라 빵가루 계피가루 녹차가루 설탕 소금 
꽃게찜,찜, 꽃게 숙주 붉은 고추 풋고추 새우살 두부 달걀 석이버섯 기호에따라 실고추 다진 마늘 소금 굴소스 후추 참기름 
만두,찜, 돼지고기 숙주 부추 두부 당면 김치 계란 밀가루 시판용만두피 만두 후추 소금 들기름 간장소스 간장 식초 고춧가루 통깨 
안동찜닭,찜, 하림 절단육 양파 감자 당근 마늘 다진것 생강 홍고추 청양고추 당면불린거 간장 굴소스 매실청 올리고당 청주 후추 
굴비찜,찜, 굴비 식초 무 물 청양고추 대파 쑥갓 소금 간장 다시마육수 고춧가루 다진마늘 청주 생강 
고추장닭찜,찜, 대파 당근 양파 청양고추 고구마 닭 참기름 고추장 고춧가루 올리고당 다진마늘 후추 생강가루 매콤한맛의굴소스
양배추오리훈제찜,찜, 양배추 오리훈제고기 다진마늘 쌈장
옥수수계란찜,찜, 계란 스위트콘 다진양파 다진당근 물 다진피망 맛술 꽃소금 
두부돼콩찜,찜, 콩나물 두부 삼겹살 대파 양파 들기름 대파 고추장 국간장 굴소스 고추가루 설탕 물엿 다진 마늘 후추 
꽃게찜,찜, 꽃게 콩나물 찜용 양파 미나리 미더덕 멸치국물 물 국멸치 다시마 작은거 매콤한 고춧가루 진간장 설탕 맛술 다진마늘 식용유 후추 녹말물 참기름 깨 
밥솥약식,찜, 물에 불린 찹쌀 흑설탕 진간장 물 대추 밤 잣 호두 계피가루 참기름 
돼지고기김치찜,찜, 김치 돼지고기 목삼겹 돼지고기밑간 청주 다진 마늘 다진 생강이나 생강가루 후춧가루 국물 사골 육수 진한 멸치육수 맛술 설탕 고춧가루 
낙지만두,찜, 만두피 부추 낙지 대파 계란흰자 맛술 허브소금 
안동찜닭,찜, 닭 감자 양파 당근 당면 닭육수 올리브유 참기름 통깨 단호박 새송이 팽이버섯 시금치 대파 닭육수 닭 물 마늘 대파흰 부분 양파 소스 진간장 흑설탕 물엿 맛술 다진 마늘 매운 건고추 후추 
양지찜,찜, 사태또는 양지 무 마른 건고추매운것 다진 마늘 다진파 들기름 간장 설탕 물엿 참기름 미림 다진 마늘 후추 깨소금 
명란젓계란찜,찜, 계란 다시물 당근 쪽파 소금 후추 청주 명란젓 참기름 
무찜,찜, 무 닭고기 소고기 표고버섯 밤 호두 대추 은행 잣 실고추 소고기 육수 간장 설탕 다진 파 다진 마늘 깨소금 후추 참기름 
안심김치찜,찜, 안심용고기 양파 대파어슷 당근 청양고추 김치 고추장 고춧가루 통후추 참기름 설탕 일반간장 마늘 고기장 참깨 일반된장 고추장 쌀엿 마늘 대파 잘게 다진 것 참기름 일반간장
돼지목살김치찜,찜, 신김치 돼지목살 다시마 양파 홍고추 청고추 대파 다진마늘 김칫국물 물 맛술 물엿 고춧가루 참기름 후추 소금 
단호박해물찜,찜, 단호박 중 사이즈 오징어 큰 것 몸통 칵테일 새우 색색 파프리카 한 종류로 하면 정도 양파 조랭이떡 캔 옥수수 양송이 버섯 피자치즈 고추장 케첩 고추가루 진간장 마진 마늘 청주 설탕 참기름 
단호박해물찜,찜, 단호박 각종해물 콩나물 모짜렐라치즈 고추장 고추가루 간장 설탕 다진마늘 후추가루 들기름 물 
곶감호두말이,찜, 곶감 고구마 모찌
단호박묵은지찜,찜, 묵은지 미니단호박 양파 고추 
돼지고기찜,찜, 앞다리살 고구마 감자 당근小 양파中 대파 청양고추 버섯 불린당면 물 간장 고춧가루 요리당 설탕 사과즙 다진마늘 맛술 후춧가루 생강가루 
호빵,찜, 강력분 박력분 인스턴트 드라이 이스트 설탕 소금 베이킹 파우더 버터 물 팥앙금 
주꾸미찜,찜, 주꾸미 새우 어묵 콩나물 계란지단 전분가루 큰술 고운 고춧가루 육수 소주 다진 마늘 매운 장 육수해물육수 멸치육수 선택 고추장 설탕 소금 깨소금 진간장 장 청양고추 칠리 소스 캡사이신 소스 오코노미 소스 
통삼겹김치찜,찜, 통삼겹살 숙성김치 청양고추 고춧가루 다진 마늘 후추 소금 다시마 국물 
묵은지코다리찜,찜, 코다리 묵은지 김치국물 대파 청양고추 코다리밑간 소금 후추 정종 조림 표고버섯가루 매운고춧가루 간장 다진마늘 생강 청주 
등갈비김치찜,찜, 신김장김치 등갈비 육수 물 가래떡 백일송이 대파 등갈비 삶는 물 물 파잎 파뿌리 된장 고춧가루 다진마늘 국간장 청주 
홍어찜,찜, 삭힌 홍어 굵은 콩나물 미나리 찜 간장 고춧가루 다진 마늘 다진 파 청양고추 홍고추 다진것 곁들이 간장 간장 고춧가루 다진 파 다진 마늘 참기름 
두부돼콩찜,찜, 콩나물 두부 삼겹살 대파 양파 들기름 고추장 국간장 굴소스 고춧가루 설탕 물엿 다진 마늘 대파 후추 
꽁치김치찜,찜, 김치 김칫국물 꽁치 무우 생강 양파 꽁치캔국물 청고추 홍고추 다진마늘 미림 후추
새우젓계란찜,찜, 계란 마늘 다진양파 대파 다시마육수 물 다시마 새우젓 설탕 소금 흰후추 고춧가루 
대구콩나물찜,찜, 대구목살 찜용콩나물 미나리 다진생강 다진마늘 다진청양고추 다진대파 전분 고춧가루 화이트와인 후춧가루 올리고당 간장 국간장 소금 참기름 검은깨
새우달걀찜,찜, 수플레 중 달걀 칵테일 새우 생크림 소금 파슬리 가루 식물성 기름 
김치만두,찜, 돼지고기 간 것 다진김치 두부 대파 다진 것 부추 만두피 고기 간장 생강가루 후춧가루 맛술 다진마늘 만두소 전체 참기름 계란 고춧가루 소금 
새우계란찜,찜, 계란 새우 당근 양파 파프리카 우유 소금 
소갈비찜,찜, 찜용갈비 무 피망 적파프리카 당근 장 간장 설탕 배 참기름 미림 깨소금 물엿 소금 후추 파인애플 약 다진파 다진마늘 소갈비 삶을 물 물 대파 양파 미림 무 홍고추 생강 
전복찜,찜, 전복 호두 은행 은행 소금 참기름 전복소스 진간장 생강 청주 설탕 
코다리콩나물찜,찜, 코다리 무 대파 콩나물 미나리 청고추 홍고추 생강 참기름 통깨 녹말물 약 다시마물 고춧가루 고추장 간장 맛술 참기름 굵은소금 후추 양파즙 무즙 다진마늘 
찹쌀떡,찜, 찹쌀가루 팥 소금 설탕 전분가루
대하콩나물찜,찜, 콩나물 대하 대파 청양고추 홍고추 녹말물 고춧가루 국간장 다진파 다진마늘 양파즙 맛술 참기름 후추 다시마육수 생강즙 굵은소금
굴찜,찜, 굴 
시금치오징어순대,찜, 찹쌀 현미 백미 찰기장 찰흑미 시금치 적양파 당근 생표고버섯 오징어 간장 다진마늘 들기름 후춧가루 참기름
찜,찜, 만데기 조개살 소고기 표고버섯 쌀 홍고추 느타리버섯 콩나물 미나리 표고버섯 소고기 밑간 간장 다진마늘 후추 깨소금 참기름 콩나물 간장 다진파 다진마늘 깨소금 참기름 미나리 다진파 다진마늘 소금 깨소금 참기름 표고버섯 간장 다진파 다진마늘 깨소금 참기름 본 국간장 후추 참기름
호박만두,찜, 호박 닭가슴살 숙주 두부 계란 고추가루 다진마늘 다진파 참기름 소금 후추 
계란찜,찜, 계란 새우젓 천일염 다진파 다시마육수 고춧가루 
