CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
방울토마토샐러드,데치기, 방울토마토 양파 파인애플통조림 올리브오일 식초 설탕 레몬즙 매실청 파슬리가루 
오징어쪽파말이,데치기, 오징어 쪽파 작은거 맛살 초장 
배추손질,데치기, 배추 소금 
브로콜리데치기,데치기, 브로콜리 소금 물 
연근깨범벅,데치기, 연근 들깻가루 참깨 검은깨 식초 소금 
지중해샐러드,데치기, 렌틸콩 가지 호박 통마늘 방울양배추 자색양파 아스파라거스 방울토마토 양상추 어린잎채소 소스 올리브유 발사믹 꿀 다진마늘 레몬즙 후추 톡톡
찹쌀경단,데치기, 찹쌀가루 초코제누와즈 물 소금 설탕
감자브로콜리샐러드,데치기, 감자 냉동야채 마요네즈 머스터드 후추 파마산치즈 가루 
소시지샐러드,데치기, 덴마크 후랑크 소시지 검은깨 눈모양 만들기 양배추 오이 토마토 케첩 
버터간장밥,데치기, 버터 밥 달걀 간장이나쯔유 
훈제닭가슴살쌈,데치기, 훈제닭가슴살 쌈무 파프리카 노랑빨강 무순 날치알 오이 땅콩버터 연겨자 
오징어숙회,데치기, 오징어 당근 오이 양파 도라지 배 청고추 홍고추 고춧가루 고추장 매실액 다진마늘 설탕 식초 
샤브샤브샐러드,데치기, 샤브샤브고기 물 청주 양상추 당근 무순 양파 참깨 간장 식초 설탕 포도씨유 소금 
얼갈이배추,데치기, 얼갈이배추 굵은 소금 
유부주머니,데치기, 유부 당면 부추 표고버섯 당근 참기름 후추 소금 통깨 참치진액 
표고버섯숙회,데치기, 표고버섯 고추장 사이다 설탕 식초 
표고버섯숙회,데치기, 표고버섯 초고추장 고추장 식초 설탕 올리고당 사이다 
어묵샐러드,데치기, 구멍어묵 양상추 간장 식초 매실청 올리고당 핫소스 참기름 갈은깨 다진마늘 다진대파 
낙지손질,데치기, 낙지 먹을만큼
쪽파,데치기, 쪽파 오징어 부침가루 튀김가루 빵가루 각종해물 소금 초장
연두부,데치기, 연두부 간장 생수 레몬즙 고추가루 황설탕 참기름 통깨 후추 쪽파 
간장꼬막,데치기, 꼬막 청양고추 홍고추 양파 대파 진간장 매실액 고추가루 다진마늘 참기름 맛술 통깨 소주 
문어초회,데치기, 돌문어 미역 각종채소 육수 식초 간장 설탕 고추냉이
곤약샐러드,데치기, 양상추 적양배추 적양파 빨강 파프리카 노랑 파프리카 방울 토마토 드레싱 간장 식초 생수 설탕 다진 마늘 레몬즙 올리브유 
새송이버섯샐러드,데치기, 새송이버섯 당근 검은깨 플레인 요구르트 꿀 레몬즙 소금 
방울토마토마리네이드,데치기, 방울토마토 소금 올리브오일 레몬즙 파슬리 소금 다진피클 다진양파 꿀 식초 
문어초회,데치기, 자숙문어 몸통 자숙문어 다리 유자청 진간장 물 식초 레몬즙 다진파 미나리 파프리카 색색깔로 씩
