CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
방아장떡,부침, 방아 팽이버섯 청고추 홍고추 청양고추 깻잎 다진 쪽파 물 부침가루 된장 고추장 듬뿍 
소세지치즈크레이프,부침,크레이프반죽 우유 계란 작은사이즈 박력분 버터 소세지 토마토 슬라이스치즈 상추 감자샐러드 감자 삶은계란 크레이프반죽 소금 설탕 감자샐러드 마요네즈 
쪽파두부동그랑땡,부침, 두부 달걀 쪽파나 실파 소금 후춧가루 마요네즈 돈가스소스 오이피클 다진 것 후춧가루 
계란야채쌈,부침, 계란 양파 초록 피망 빨간 피망 노란 피망 미나리 무순 식용유 초고추장이나 머스타드 소스 
호박전,부침, 애호박 동태포 굵은소금 소금 후추 계란 소금 밀가루 식용유 
오꼬노미야끼,부침, 부침가루 계란 물 또는 우유 삼겹살 양배추 가쯔오부시 식용유 오꼬노미야끼소스 마요네즈
계란야채부침,부침, 달걀 다진스팸 다진파 다진 양파 쫑쫑썬신김치 올리브오일 소금 후추 
감자전,부침, 감자 큰것 건포도 호두 김치 올리브오일 소금 후추가루 
오징어동그랑땡,부침, 오징어 새송이 버섯큰 것 풋고추 양파 작은것 당근 대파 밀가루 녹말가루 달걀 소금 후춧가루 
부추전,부침, 부추 오징어 양파 당근 청양고추 부침가루 물 포도씨유 소금 
계란말이,부침, 계란 청양고추 신김치잘게썬것 당근 참치 소금 후춧가루 
연근전,부침, 연근 양파 당근 실파 홍파프리카 물 부침가루 소금 연근칩 연근 튀김오일 연근쥬스 연근 요구르트 
감자오꼬노미야끼,부침, 감자 큰사이즈 캔옥수수 완두콩 계란 큰사이즈 가쓰오부시 대파 소금 후추 식용유 오꼬노미야끼소스 마요네즈
애호박전,부침, 애호박 부침가루 달걀 홍고추 소금 
동태전,부침, 동태 밀가루 계란 기름 소금
새우김치전,부침, 김치 박력분 달걀 새우 양파 물 정도 새우밑간 맛술 소금 후추
콩부침개,부침, 메주콩 흰콩 물 부침가루 양파 중 대파나 실파 소금 후춧가루 
버섯두부스테이크,부침, 두부 큰 애느타리버섯 팽이버섯 양파 중 빨강색파프리카 청양고추 두부부침옷 소금 녹말가루 고추장 간장 참치 액 설탕 맛술 다진 마늘 참기름 통깨 후춧가루 
깻잎고기전,부침, 돼지고기 다진것 두부 양파 당근 피망 실파 깻잎 피망 홍피망 식용유 돼지고기밑간 청주 다진 마늘 소금 후춧가루 달걀 다진 마늘 참기름 간장 소금 후춧가루 부침옷 밀가루 달걀 
카레애호박전,부침, 호박 부침가루 계란 카레 소금 
고추장부추전,부침, 오징어 부추 버섯 애호박 튀김가루 물 고추장 
게맛살옥수수전,부침, 게맛살 옥수수 고추 물 부침가루 달걀 소금 후춧가루 
옥수수감자전,부침, 감자 캔옥수수 설탕 소금 
새우감자전,부침, 감자 양파 청양고추 칵테일 새우 밀가루 부침가루 박력분 튀김가루 소금 초간장 간장 물 식초 설탕 파 
두부김치전,부침, 두부 김치 부침가루 달걀 물 
해물파전,부침, 오징어 바지락 살 새우 양파 쪽파 버섯 반죽 부침가루 박력분 달걀 소금 후추 물 내에서 조절 간장 간장 물 식초 설탕 파 
굴야채전,부침, 굴 미나리 양파 당근 감자 부침가루
호박부침개,부침, 부침가루 애호박 오징어 새우 파프리카 실파 물 
메밀김치말이,부침, 새콤하게익은김치 양파 부추 메밀가루 잡채용돼지고기 고기밑간 소금 다진마늘 소금 참기름 굴소스 
야채오믈렛토스트,부침, 식빵 계란 청홍노랑피망 양파 비엔나소세지 버터 소금 케첩 파마산치즈가루
스위트콘계란말이,부침, 계란 스위트콘 송송썬대파 식용유 구운소금 
옥수수팬케이크,부침, 계란 우유 핫케이크가루 옥수수 슬라이스치즈 파프리카 
감자전,부침, 감자 토마토케첩 초간장
야채애호박전말이,부침, 느타리버섯 청피망 당근 양파 햄 애호박 계란 소금
동그랑땡,부침, 돼지고기살코기 양파 마늘 청주 후추가루 녹말가루 케첩 우스타소스 바베큐소스 아몬드
애호박전,부침, 애호박 청고추 홍고추 계란 밀가루 올리브유 물 소금 
야채전,부침, 명태살 두부 당근 양파 파프리카 대파 부침가루 빵가루 계란 명태살 밑간 후추가루 소금 소금
동그랑땡,부침, 돼지고기 다짐육 두부 양파 당근 청양고추 파 달걀 고기밑간 청주 다진마늘 소금 후추 다진마늘 참기름 간장 부침옷 밀가루 달걀 
돼지고기산적,부침, 돼지고기살코기 두부 대파 양파 잣 마늘 소금 설탕 물엿 후추 통깨 참기름 진간장
야채참치전,부침, 캔참치 피망 부추 양파 계란 부침가루 소금 
파프리카계란말이,부침, 계란 파프리카 치즈 소금
동그랑땡,부침, 두부 양파 맛살 깻잎생략 가능 밀가루 달걀 달걀노른자 기름식용유 또는 카놀라유 소금 후추 
메밀전병,부침, 메밀가루 무 당근 당면 대파 고추 두부 고춧가루 진간장 다진마늘 깨소금 소금 후춧가루 
쇠고기동그랑땡,부침, 쇠고기 다진것 양파 중간것 당근 피망 대파 고기 청주 다진 마늘 소금 후춧가루 생강즙이나 가루 참기름 부침옷 밀가루 달걀 
동그랑땡,부침, 소고기 돼지고기 양파 파 당근 브로콜리 빵가루 소금 후추 
애호박전,부침, 애호박 달걀 부침가루 오일 소금 후추 
깻잎전,부침, 깻잎 동그랑땡 반죽 부침가루 달걀물 오일 
파프리카전,부침, 미니 파프리카 동그랑땡 반죽 부침가루 달걀 
참치두부샌드,부침, 두부 양파 당근 참치통조림 계란 밀가루 참깨 흑임자 다진마늘 간장 참기름 후추 소금 
오징어김치야채전,부침, 오징어 김치 당근 양파 깻잎 송이버섯 밀가루 계란
동그랑땡,부침, 갈은돼지고기 당근 양파 청양고추 마늘 파 두부 밀가루 계란 기름 소금 후추
계란말이,부침, 계란 청홍고추피망 및 파프리카 가능 납작만두 고추장 케찹 물엿 맛술 
팬케이크,부침, 달걀 노른자 설탕 꿀 바닐라오일 버터 또는 포도씨유 박력분 베이킹파우더 머랭 달걀 흰자 설탕 
카레굴전,부침, 굴 달걀 밀가루 카레가루 참기름 후추 초간장 간장 다진파 다진마늘 깨소금 설탕 식초 
삼색달걀말이,부침, 달걀 김 깻잎 당근 식물성 기름 소금 씩
굴김치전,부침, 묵은지 굴 부침가루 양파 잔파 올리브유
