CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
깐풍기,튀김, 닭가슴살 떡볶이떡 각종버섯 양송이 새송이 표고버섯 찜옷 소금 맛술 녹말가루 밑간 간장 설탕 맛술 깐풍 간장 굴소스 설탕 식초 맛술 참기름 후추 전체 양파 대파 청고추 홍고추 고추기름 다진마늘 
참치김치크로켓,튀김, 참치 감자 김치 양파반개 모짜렐라치즈 소금 후추 계란 튀김가루 빵가루 튀김유 파슬리가루 
깐풍꽃게,튀김, 꽃게 밀가루 튀김용식용유 양파 피망 마른고추 녹말물 녹말 물 식용유 다진마늘 멸치육수 진간장 식초 참기름 설탕 소금 
파인애플튀김,튀김, 파인애플 라이스페이퍼 박력분 계란 베이킹파우더 우유 튀김용 식용유 소금 
닭모래집튀김,튀김, 닭모래집 밀가루 고구마 작은것 튀김오일 모래집 밑간 청주 소금 후춧가루 튀김밑간 튀김가루 카레가루 케찹 핫소스 고추장 황설탕 청주 마늘가루 호두분태 
가라아게,튀김, 닭가슴살 닭다리살 감자전분 식용유 닭가슴살 밑간 기꼬망 저염간장 청주 후춧가루 청양고추 소스 청양고추 대파 기꼬망 저염간장 레몬즙 올리고당 백후춧가루 겨자 
불고기라이스크로켓,튀김, 다진 쇠고기 양파 당근 대파 밥 튀김옷 밀가루 달걀 빵가루 포도씨유 소금 후춧가루 장 간장 설탕 다진마늘 참기름 맛술 
치킨마요덮밥,튀김,도리 가라아게 닭가슴살 또는 닭다리살 감자전분 튀김용 기름 치킨마요덮밥도리 가라아게동 도리 가라아게 밥 계란 닭고기 밑간 기꼬망 저염간장 청주 후추가루 치킨마요덮밥도리 가라아게동 소금 데리야키소스 다진실파 마요네즈 
해삼튀김,튀김, 해삼 녹말가루 튀김가루 튀김오일 
새우닭강정,튀김, 닭가슴살 새우 튀김가루 찬물 식용유 밑간 다진마늘 소금 후추 양파 다진마늘 식용유 고춧가루 고추장 물 맛술 설탕 물엿 간장 
몬테크리스토,튀김, 식빵 닭 안심살 사과 슬라이스 체다치즈 슬라이스햄 튀김기름 닭밑간 소금 후춧가루 맛술 튀김옷 튀김가루 녹말가루 얼음물 슈거파우더 딸기잼 마요네즈 
돼지등갈비강정,튀김, 돼지등갈비 식용유 튀김옷 녹말가루 고기삶는물 물 소주 통후추 생강 생강가루 소스 고추장 케첩 굴 소스 맛술 식초 다진 마늘 물엿 설탕 물 생강즙이나 가루 후춧가루 참기름 통깨 
도너츠,튀김, 박력분 베이킹파우더 계란 와인 튀김용기름 버터 설탕 
쥐포튀김,튀김, 쥐포 튀김기름 튀김가루 튀김옷 튀김가루 찬물 소스 스위트칠리소스 
카레빵,튀김, 강력분 박력분 설탕 소금 인스턴트 드라이 이스트 미지근한물 카레 우유 밀가루 빵가루 우유나 찬물 튀김용기름 
가끼아게동,튀김, 새우 중하 양파 튀김가루 얼음물 계란 쪽파 튀김유 지은밥 새우밑간 백후추가루 레몬즙 소금 미쯔칸 농축 쯔유 물 나나미 도우 가라시 
두부강정,튀김, 산콩두부 녹말가루 튀김가루 볶은천일염가루 땅콩분태 통깨 식용유 두부강정 케첩 고추장 매운고춧가루 설탕 오일 물 
교촌치킨,튀김, 닭안심살 재움 우유 밑간재움 양파 중간 생강술 소스 간장 굴소스 설탕 생강술 물엿 식초 마늘 물 백후추 
새우튀김덮밥,튀김, 시판새우튀김 양파 당근 팽이버섯 꽈리고추 소스 다시마육수 진간장 맛술 메밀장국원액국수장국 설탕 
미니핫도그,튀김, 막대과자 비엔나소세지 핫케익가루 계란 빵가루 우유 올리브오일
새우튀김,튀김, 대하 계란 빵가루 파슬리가루 튀김가루 포도씨유 새우밑간 맛술 허브솔트 다진마늘 
두부탕수,튀김, 두부 튀김가루 소금 피망 양파 다진 마늘 간장 식초 레몬즙 설탕 다진 마늘 물 물녹말 물 녹말가루 
가지튀김,튀김, 가지 다진 돼지고기 다진양파 다진마늘 후추 소금 밀가루 냉수 소금 빵가루 장 간장 레몬즙 쪽파 다진홍고추
오징어튀김,튀김, 오징어 계란 빵가루 파슬리가루 튀김가루 포도씨유 오징어 밑간 맛술 허브솔트 다진마늘 
포테이토칩,튀김, 감자 식용유 구운소금 파슬리가루 
닭날개튀김,튀김, 닭날개 우유 감자전분 물 다시마 간장 굴소스 설탕 다진마늘 청주 핫소스 
새우야채샐러드,튀김, 귤 브로콜리 콜리플라워 방울토마토 양상추 깐새우 빵가루 밀가루 계란 드레싱 귤 플레인요구르트 파인애플통조림 통조림물
닭강정,튀김, 닭볶음용 튀김가루 땅콩가루 카레가루 간장 고추장 케찹 설탕 꿀 다진 마늘 다진 생강 다진 양파 청양고추 
닭강정,튀김, 닭안심 떡볶이떡 땅콩분태 밑간 소금 청주 후춧가루 닭강정 조림장 설탕 물엿 청주 생강가루 다진마늘 양파즙 물 고추장 핫소스 케찹 우스터소스 
치즈돈까스,튀김, 돼지고기등심 감자 치즈 양송이버섯 양파 밀가루 계란 빵가루 청주 후추 돈까스소스 케첩 고기밑간 후추 청주
약과,튀김, 밀가루 소금 후추가루 참기름 소주 잣 집청 설탕시럽 설탕 물엿 생강가루 물
깐풍기,튀김, 닭가슴살 우유 후추 튀김옷 녹말 계란 카레 소스 청양고추 홍고추작은걸 사용 양파 당근 대파 다진마늘 물 간장 맛술 굴소스 식초 설탕 물엿 참기름 
감자칩,튀김, 홍영 자영 하령 컬러감자 소금 
가지쇠고기샌드위치튀김,튀김, 쇠고기 가지 계란 빵가루 밀가루 소금 스테이크 소스 쇠고기 밑간 소금 후추 카레 
마튀김,튀김, 둥근 마 부침가루 오일 카레가루 
김치치즈롤,튀김, 돼지고기등심 묵은지 피자치즈 슬라이스치즈 튀김옷 달걀 빵가루 밀가루 김치 참기름 다진 마늘 다진 대파 통깨 고기밑간 청주 생강가루 소금 후춧가루 
생선살튀김볼,튀김, 흰살생선 칵테일새우 모듬해물 모듬야채 양파 달걀흰자 청양고추 홍고추 맛술 깻잎 튀김옷 달걀 밀가루 빵가루 마늘 녹말가루 밀가루 찹쌀가루 소금 후춧가루 식용유 부 케찹 머스터드소스 
칠리치즈감자튀김,튀김, 후렌치후라이 양파 돼지고기 다진것 치즈 다진마늘 다이스 토마토 통조림 핫소스 케이준시즈닝 파슬리 오레가노 월계수잎 레드와인 소금 후추 
표고버섯강정,튀김, 표고버섯 큰것 양송이버섯 튀김옷 국간장 들기름 녹말가루 소스 고추장 케찹 간장 청주 설탕 물엿이나 아가베시럽 
밥핫도그,튀김, 오색미로 지은 밥 비엔나소시지 계란 튀김가루 빵가루 튀김용오일 꼬치 소금 깨소금 케찹 머스타드소스
치즈주먹밥,튀김, 브로콜리 김치 멸치 치즈 밥 빵가루 밀가루 계란 기름 밥 참기름 깨 소금 케찹 머스타드
흑임자고구마맛탕,튀김, 고구마 유채유 흑임자 호박씨 흑설탕 포도씨유 
새우튀김,튀김, 왕새우 밤 대추 튀김가루 밀가루 달걀 얼음물 튀김용기름 
꿀떡누룽지맛탕,튀김, 고구마 누룽지 떡볶이용 떡 꿀 설탕 
두부맛탕,튀김, 두부 피망 붉은 피망 찹쌀가루 소금 녹말가루 튀김용기름 맛탕시럽 흑설탕 식물성 기름 
검은콩단호박튀김볼,튀김, 검은콩 단호박 청양고추 맛타리버섯 달걀 빵가루 밀가루 찹쌀가루 올리브유 장식용과일류 채소류 소금 후춧가루 데리야끼소스 
카레돈까스,튀김, 돈까스용 돼지고기 큰건 튀김옷 튀김가루 달걀 빵가루 밑간 소금 후추 카레가루
어묵까스,튀김, 어묵 돼지고기간것 밀가루 달걀 빵가루 돼지고기 다진파 다진부추 다진마늘 청주 소금 후춧가루 참기름 청양고추 홍고추 양파 
생선치즈커틀릿,튀김, 흰살생선 치즈 식용유 튀김옷 달걀 밀가루 빵가루 파슬리가루 생선살밑간 소금 후춧가루 생강즙 소스 머스터드소스 케찹
어묵,튀김, 동태포 비엔나소시지 게맛살 오징어 칵테일새우 오징어어묵 양파 큰거 청고추 홍고추 계란 다진 마늘 후추 생강 가루 감자 전분 비엔나소시지와 게맛살어묵 양파 큰거 당근 청고추 홍고추 파프리카 계란 다진 마늘 후추 생강 가루 감자 전분 초간장 간장 맛술 식초 참기름 깨소금 
고구마핫도그,튀김, 비엔나소세지 빵가루 달걀 고구마으깬거 기름 
새우메추리알튀김,튀김, 큰새우 피망 붉은 피망 양송이 통마늘 메추리알 튀김용기름 튀김가루 물 꼬지 멸치육수 굴소스 조미술 물녹말 
단호박돈가스롤,튀김, 돼지고기 등심 단호박 설탕 소금 피자용 치즈 밀가루 달걀 빵가루 식용유 고기 후추 다진 마늘 소금 돈가스소스 버터 밀가루 통계피 통후추 월계수잎 케찹 우스타소스 스테이크소스 소스 치킨 시즈닝 비프 시즈닝 설탕 
야채고로케,튀김, 식빵 당근 양파 햄 치즈 삶은감자 계란 빵가루 소금 설탕 후추
춘권피바나나말이튀김,튀김, 바나나 춘권피 밀크초콜릿초코칩
장어강정,튀김, 장어 녹말가루 튀김기름 청양고추 양파 고추장 고춧가루 간장 물엿 설탕 깨소금 갈은것 후추 생강가루 마늘 청주 물 
고구마맛탕,튀김, 고구마 식용유 설탕 물 
쇠고기김치말이튀김,튀김, 쇠고기 묵은지 애느타리버섯 달걀 밀가루 식용유 소금 후춧가루 
생선까스,튀김, 생선살 빵가루 밀가루 전분가루 양배추 양파 계란물 계란 다진파 마늘 소금 케찹 우스타소스 물엿 
두부스낵,튀김, 두부스낵믹스 계란 두부 큰것 
닭강정,튀김, 닭가슴살 우유 식용유 튀김가루 아몬드 튀김옷 튀김가루 물 밑간 꽃소금 후추 소스 케첩 진간장 맛술 고추장 물엿 설탕 핫소스 다진마늘 참기름 
