CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
파프리카배추물김치,절임, 배추 파프리카 노란색 파프리카 오렌지색 소금 양파 마늘 쌀가루 생수 쌀가루
고추장아찌,절임, 고추 간장 설탕 식초 
매실액기스,절임, 매실 올리고당 황설탕 
파김치,절임, 쪽파 다듬은것 고춧가루 멸치액젖 다진마늘 생강가루 통깨 매실액기스 새우젖 찹쌀풀 멸치다시마육수 찹쌀가루 
매실장아찌,절임,매실청 매실 설탕 매실 장아찌 매실과육 설탕 
매실장아찌,절임, 매실과육만 설탕 물 소금 
오이소박이,절임, 오이 양파 당근 부추 대파 흰부분 다진것 소금 마늘 생강 고추가루 새우 젓 까나리액젓 
오이소박이,절임, 오이 부추 실파 물 굵은소금 멸치액젓 새우젓 매실청또는 요리당 고춧가루 다진마늘 다진생강 밀가루풀 
배추김치,절임, 배추 절인것 무 대파 마늘 생강 고춧가루 까나리액젓 새우젓 설탕 
깻잎김치,절임, 깻잎 양파 당근 실파 멸치액젓 간장 고춧가루 다진마늘 생강가루 올리고당 
오이피클,절임, 오이 굵은소금 물 설탕 식초 소금 피클링 스파이스 월계수 
오이지,절임, 조선오이 천일염 물 
고추마늘짱아찌,절임, 삭힌고추 깐마늘 매실원액
무장아찌,절임, 무 청양고추 무절임 굵은소금 설탕 간장절임물 물 간장 식초 설탕 참치진국 
피클,절임, 양파 오이 당근 소금 피클링스파이스 물 식초 설탕 
오이피클,절임, 오이 물 피클링스파이스 소금 설탕 
오이소박이,절임, 오이 부추 밀가루 물 고추가루 멸치액젓 다진마늘 설탕 새우젓 
양배추깻잎김치,절임, 양배추 오이 깻잎 쪽파 홍고추 양배추 절임물 물 굵은소금 국물소스 물 소금 매실액기스 고추가루 마늘 생강 
바나나식초,절임, 바나나 흑설탕 식초
열무김치,절임, 열무 얼갈이 쪽파 홍고추 양파 생강 밀가루풀 굵은소금 생수 마늘 고춧가루 멸치액젓 설탕 
고추장김장아찌,절임, 김 대추 생강 간장 다시육수 청주 고추장 조청 
파김치,절임, 쪽파 찰쌉가루 양파 고추가루 설탕 마늘 젓갈 통깨 
간장새우장,절임, 대하 청양고추 양파 간장물 양조간장 멸치액젓 물 청주 건고추 사과 레몬 마늘 생강 건표고버섯 대파 흰대 통후추 다시마 매실엑기스 
부추김치,절임, 부추 풋고추 감자녹말풀 다진마늘 고추가루 까나리액젓 매실청 소금 
아삭이고추장아찌,절임, 아삭이고추 간장소스 간장 식초 설탕 
고추장아찌,절임, 고추 설탕 간장 물 식초 
깻잎간장장아찌,절임, 깻잎 홍고추 저염간장 물 벌꿀흑초 
김치,절임, 배추 부추 마른고추 생강 마늘 액젖 찹쌀풀 배 사과 새우젓 설탕 
배추겉절이,절임, 배추 실파 배 참기름 통깨 배추절임 굵은소금 물 찹쌀풀 찹쌀가루 물 고춧가루 까나리액젓 다진마늘 설탕 생강 
깍두기,절임, 무 쪽파 천일염 고춧가루 멸치액젓 새우젓 매실엑기스 설탕 다진마늘 다진생강 
오이고추소박이,절임, 오이맛 고추 부추 양파 무 마늘 다진거 생강 다진거 매실청 까나리 액젓 찹살풀 고추가루 설탕 통깨 소금 
나박김치,절임, 배추 대파 배 당근 마늘즙 생강즙 고추가루 소금 육수멸치 다시물 
인삼꿀절임,절임, 인삼 꿀
생강청,절임, 햇생강 황설탕 계피스틱 
피클,절임, 바나나 오이 파프리카 양배추 양파 식초 흑설탕 피클 장 간장 물 설탕 바나나식초 일반사과식초 
고추피클,절임, 아삭이 고추 물 식초 설탕 소금 후춧가루 월계수 잎 청양고추 
청경채김치,절임, 청경채 건고추 마늘 생강 액젓 생새우 새우젓 배 사과 밥
무피클,절임, 무우 노랑파프리카 빨강파프리카 청양고추 홍고추 통마늘 단촛물 물 식초 설탕 소금 통후추 월계수잎 
파김치,절임, 쪽파 깨소금 까나리액젓 소금 감효소 고추가루 찹쌀가루
오이소박이,절임, 오이 부추 쪽파 오이 절임물 물 소금 고추가루 다진마늘 다진생강 까나리액젓 매실청 
마늘쫑장아찌,절임, 마늘쫑 식초 간장 물 삼성당 
수박열무물김치,절임, 열무 수박즙 마른고추 생강 마늘 생새우 새우젓 멸치액젓 사과 배 양파
피클,절임, 오이 파프리카 당근 브로콜리 양배추 레몬 비트 물 식초 설탕 피클링스파이스 월계수잎 소금 
매실액기스,절임, 매실
오이피클,절임, 오이 홍고추 물 피클용흑초 
매실액기스,절임, 매실 설탕
매실장아찌,절임, 매실 소금 설탕 
마늘장아찌,절임, 통마늘 물 식초 간장 설탕
오이지보관,절임, 작은 조선오이 물 소금 물엿 
새송이버섯장아찌,절임, 새송이버섯 청양고추 홍고추 양파 마늘장아찌 국물 흑초없으면 간장 설탕 식초
키위무쌈롤,절임, 무 얇게뜬거 빨강파프리카 적채 그린키위 무초절임 식초 설탕 소금 키위발사믹드레싱 키위 갈은거 꿀 발사믹식초 
감자열무물김치,절임, 열무 실파 양파 청양고추 소금 절임물 굵은 소금 물 장 붉은고추 마늘 생강 새우젓 고추가루 삶은 감자 다시마물 
매실장아찌,절임, 매실 고추장 마늘 통깨 참기름 물엿
부추김치,절임, 부추 마른고추 생강 마늘 밥 생새우 새우젓 멸치액젓 사과 배 양파
청양고추장아찌,절임, 청양고추 천일염 물 간장 물 매실청 식초 설탕 
파프리카오이피클,절임, 오이 파프리카 월계수잎 통후추 마른고추 마늘 생강 절임물 물 식초 설탕 소금 
배추김치,절임, 배추 천일염 양파 마늘 사과 고춧가루 새우젓 매실액 멸치 액젓 매실청 사골 육수 무 쪽파 
오이피클,절임, 오이 물 설탕 식초 천일염
깻잎간장절임,절임, 깻잎 청고추 홍고추 양파 뒤포리육수 간장 매실액 물엿 설탕 
연근브로컬리피클,절임, 연근 브로콜리 물 식초 유기농 설탕 소금 정향 
간장게장,절임, 꽃게 간장 참치액 정종 무 양파 배즙합해서 황태육수 매실액 설탕 통후추 양파 대파 건고추 감초 씩 생강 마늘
절임배추,절임, 절임배추 무우 갓 쪽파 물 찹쌀풀 찹쌀가루 물 멸치액젓 생강 다진마늘 고춧가루 중간소금 양파 
갓김치,절임, 돌산갓 쪽파 천일염 고춧가루 멸치액젓 새우젓 밀가루풀 마늘 다진 생강 매실청 
깍두기,절임, 무 중간크기 고추가루 절임용소금 쪽파 고추가루 액젓 찹쌀풀 마늘 생강즙 매실액 
간장게장,절임, 꽃게 통마늘 마른홍고추 작은것 생강 설탕 간장물 물 간장 소금 
배추김치,절임, 배추 무 쪽파 갓 새우젓 멸치액젓 다진마늘 다진생강 찹쌀풀 고춧가루 청양고춧가루 배 사과 홍시
동치미,절임, 무 쪽파 양파 마늘 생강 찹쌀풀 찹쌀 물 굵은소금 
나박김치,절임, 배추 속대 무 작은것 실파 고춧가루 소금 김치국물 물 고춧가루 소금 설탕 마늘 생강 
모과청,절임, 모과 황설탕 
배추김치,절임, 배추 천일염 고추가루 설탕 찹쌀가루 액젓 무 두께 지름 정도의 무 양파 배 홍고추 마늘 생강 대파 흰부분만 쪽파 
오이피클,절임, 미니오이 일반 오이의 경우 소금 소다 물 설탕 소금 피클링스파이스 식초 
김장아찌,절임, 재래김 밤고구마 양조간장 고추장 쌀엿 통생강 통깨 
양파절임,절임, 무 양파 청양고추 간장 설탕 식초 화이트 와인 
오이물김치,절임, 오이 밀가루풀 밀가루 물 절임물 물 굵은소금 부추 홍고추 다진마늘 까나리액젓 설탕 생강즙 김치국물 물 굵은소금 밀가루풀 
생강술,절임, 생강 정종 
쪽파김치,절임, 쪽파 고춧가루 멸치액젓 다진마늘 다진생강 매실청 찹쌀풀 설탕 
오이피클,절임, 굵은소금 오이 물 식초 설탕 
두릅장아찌,절임, 두릅 물 소금 가쯔오 육수 국간장 청주 설탕 식초 소금 
곰취장아찌,절임, 곰취 두릅순 육수 배 사과 파뿌리 통후추 마른홍고추 마늘 대파흰부분 양파 다시마 물 간장물 간장 육수 식초 매실액 청주 
오이김치,절임, 백오이 무 작은것 굵은소금 대파 다진마늘 다진생강 굵은고춧가루 새우젓 설탕 소금 
오이소박이,절임, 오이 부추 소금 오이절이기 소금 물 멸치액젓 고춧가루 매실액 다진 마늘 다진 생강 설탕 통깨 
오이소박이,절임, 오이 잔파또는부추 굵은소금 건고추 생새우 양파 마늘 생강 사과 멸치액젓
오이피클,절임, 오이 레몬 소금 베이킹소다 초절임물 물 식초 소금 설탕 설탕 통후추 월계수잎 
샐러리장아찌,절임, 샐러리 대파흰부분 양파 마른홍고추작은것 통후추 월계수잎 초절임물 간장 물 식초 설탕 
오이피클,절임, 오이 굵은소금 청고추 홍고추 물 식초 설탕 소금 통후추 월계수잎 
양파장아찌,절임, 양파 작은것 맛간장 식초 물 매실액 설탕 레몬즙 마늘 월계수잎 통후추 
깻잎장아찌,절임, 깻잎 양파 홍고추 맛간장 물 매실청 마늘 
마늘장아찌,절임, 마늘 넉넉히 소금 간장 식초 물 설탕 
열무김치,절임, 열무 얼갈이 찬밥 말린고추 양파 마늘 찐감자 매실청 설탕 생강 멸치액젓 
열무물김치,절임, 열무 양파 쪽파 굵은소금 물 물김치 물 청양고추 홍고추 마늘 생강 현미밥 소금 매실청 
양파초절임,절임, 양파 물 식초 굵은소금 설탕 피클링 스파이스 
매실청,절임, 매실 설탕
깻잎김치,절임, 깻잎 쪽파 홍고추 풋고추 통깨 어간장또는 진간장 다진마늘 다진생강 설탕 굵은고춧가루 
