CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
클럽샌드위치,기타, 식빵 로메인 베이컨 슬라이스햄 토마토 슬라이스치즈 크림치즈 크림치즈 
샐러드,기타, 양상추 방울토마토 오렌지 치커리 오렌지자몽드레싱
샐러드샌드위치,기타, 방울토마토 오렌지 야채 베이글 베이컨 드레싱 오렌지즙 떠먹는 요구르트 식초 레몬즙
치킨베이글샌드위치,기타, 베이글 닭가슴살 슬라이스치즈 토마토슬라이스 로메인 또는 양상추 사브로소 포도씨유 미쯔칸 데리야키소스 크림치즈 허니머스터드소스 
우유셔벗,기타, 우유 키위 토마토
초코아이스크림,기타, 우유 생크림 달걀 노른자 설탕 무가당 코코아가루 다크초콜릿 럼 
베이컨달걀샌드위치,기타, 식빵 베이컨 달걀 양파 작은거 마요네즈 머스터드 소금 후추 
파프리카밥케이크,기타, 롤치즈 파프리카 밥 새싹채소 무순 참기름 허브소금 일반소금
쇠고기편육김치쌈,기타, 양지 영양 부추 신김치 대파 마늘 생강즙 초고추장 취향껏
과일치즈꼬치,기타, 벨큐브치즈 딸기 사과 오이 키위
치즈아이스크림,기타, 슬라이스치즈 우유 달걀노른자 설탕 생크림 
산딸기요거트아이스크림,기타, 플레인요구르트 딸기 설탕 
크림치즈식빵햄카나페,기타, 식빵 치커리 오이 등심햄 파인애플크림치즈 머스타드
크림치즈샌드위치,기타, 크림치즈플레인맛 식빵 오이 햄 새싹채소 케찹 머스터드 
키위주스,기타, 그린키위 생수 시럽 
매실드레싱,기타, 매실청 물 올리브유 다진 매실 간장 소금 후추 
바나나우유,기타, 우유 바나나 
수박화채,기타, 수박 천도복숭아 방울토마토 오렌지 쥬스 탄산수 꿀 
토마토슬러시,기타, 토마토 올리고당 
석류펀치,기타, 강서청산수 홍초블루베리 홍초석류
오리샌드위치,기타, 샌드위치 치커리 당근 오이 오리미트로프 샌드위치햄 치즈 크리미시저드레싱
멸치쌈장쌈밥,기타, 밥 배추 멸치가루 멸치젓국 된장 물엿 깨 참기름 올리브유 양파 다진것 다진마늘 
포도쥬스,기타, 포도 각얼음 올리고당
포도빙수,기타, 아이스곽 생수 복숭아 자두 귤 젤리 떡 팥 우유 포도즙
복숭아쥬스,기타, 복숭아 요구르트 생수 올리고당 각얼음
요거트,기타, 플레인 요거트 
