CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
김치비빔면,비빔, 국수 김치 메추리알 참기름 국수 고추장 케첩 매실청 다진마늘 김치 깨소금 참기름 설탕 
야채비빔밥,비빔, 콩나물 무 당근 상추 배추 부추 김자반 밥 저염간장 고춧가루 다진마늘 식초 황설탕 참기름 참깨 고추장
김치콩나물밥,비빔, 불리지 않은 쌀 돼지고기 간장 참기름 통깨 간마늘 후춧가루 달래장 달래 간장 참기름 고춧가루 통깨 
비빔국수,비빔, 소면 송송썬김치 채썬오이 채썬양파 김가루 김치 밑간 설탕 깨소금 참기름 장 고추장 간장 사과식초 설탕 매실액 참기름 깨소금 후추 
비빔어묵당면,비빔, 맛살어묵 당면 부추 배추 멸치육수 간장 장 다진쪽파 대파 다진마늘 다진 청양고추 저염간장 국간장 고춧가루 참기름 참깨
간장비빔국수,비빔, 소면 계란 호박 양파 당근 오일 참기름 소금 간장 요리당 참기름 깨소금 
고추장누룽지밥,비빔, 밥 참치통조림 달래 참기름 고추장 
닭가슴살치즈주먹밥,비빔, 닭가슴살 통조림 치즈 후리카게
참치버섯샐러드,비빔, 느타리버섯 캔참치 작은것 대파 올리브유 통깨 소금 
김치햄주먹밥,비빔, 밥 묵은지 후리가케 슬라이스햄 간장 참기름 소금 후추 허니머스타드 토마토케첩 
게살치즈롤샌드위치,비빔, 식빵 크래미 슬라이스치즈 허니머스타드소스 후추 소금 토마토케첩 
소고기콩나물비빔밥,비빔, 콩나물 쇠고기 당근 밥 고기 간장 청주 다진 마늘 설탕 후춧가루 간장 간장 맛술 다진 파 다진 마늘 다진 풋고추 다진 홍고추 고춧가루 참기름 통깨 
돌나물비빔국수,비빔, 소면 돌나물 고추장 식초 참기름 검정깨 아가베시럽 다진마늘 
파프리카샐러드,비빔, 돌나물 파프리카 플레인 요구르트 사과식초 다진 양파 올리고당 소금 
치즈김밥,비빔, 각종나물들 스팸 김치 치즈 밥 김밥용김 참기름 깨소금 
비빔군만두,비빔, 군만두 상추 대파 올리브유 통깨 고춧가루 식초 소금 설탕 
쌈장,비빔, 다진마늘 볶은호박씨 볶은 해바라기씨 검은통깨 참기름 아가베시럽 물엿 콩가 들깨가루루 시판용쌈장 된장 고추장 
참치새싹비빔밥,비빔, 밥 참치 새싹채소 두부 약고추장 
신김치비빔국수,비빔, 익은김장김치 참기름 깨 소면 사과 고추장 고추가루 식초 설탕 올리고당 다진마늘또는 마늘소스 깨 물 
김치비빔국수,비빔, 상추 오이 깻잎 신김치 소면 참기름 깨소금 통깨 과일즙 소스 고추장 고춧가루 간장 오렌지즙 레몬즙 물엿 설탕 다진마늘 
차돌박이비빔국수,비빔, 소면 상추 양파슬라이스 얇게 차돌박이 페퍼시즈닝 고추장 간장 설탕 식초 참기름 깨소금 후추 
삼각김밥,비빔, 밥 김치 호두멸치조림 밥 밑간 참기름 통깨 소금 김치 밑간 참기름 설탕 깨소금
봄나물비빔밥,비빔, 밥 나물류원하는종류대로 계란 프라이 불고기 비빔장
참치샌드위치,비빔, 참치 캔옥수수 오이씨부분 제거 식빵 마요네즈 후추 소스 허니머스터드 홀그레인머스터드 꿀 
크래미샐러드,비빔, 크래미 사과 베이비샐러드 레몬 올리브유 사과식초 꿀 소금 후추 
블루베리요구르트,비빔, 아이스블루베리 플레인요구르트 베리시럽
쭈꾸미달래돌솥비빔밥,비빔, 쭈꾸미 작은크기 달래 칵테일새우 호박 당근 달걀 밥 포도씨유 참기름 소금 달래고추장 달래 고추장 매실청 맛술 올리고당 다진마늘 통깨
오디샐러드,비빔, 오디 양상추 토마토 계란 키위 자몽 플레인요구르트 
버섯밥,비빔, 쌀 적은 다시마 사방 물 느타리버섯 쪽파 베이비야채 간장 다시마물 미림 설탕 참기름 통깨 간마늘 실파 
비빔만두,비빔, 당면 부추 밀가루 물 식용유 양배추 깻잎 당근 양파 밀병 간장 설탕 깨소금 참기름 초고추장 고추장 설탕 식초 사이다 물엿 통깨 마늘
깍두기비빔밥,비빔, 흑미밥 깍두기 실파 김가루 깍두기국물또는 고추장이나 장조림 간장소스 참기름 통깨 
호박나물비빔밥,비빔, 말린 호박 물 참기름 일반간장 파 소금 다진마늘 숟가락 달래간장 간장 참기름 설탕 깨소금 고춧가루 
월넛스프레드,비빔, 호두분태 해바라기씨 서울우유 끼리 꿀 계피가루 
오징어젓비빔밥,비빔, 밥 오징어젓 쌈야채 통깨 참기름 
참치회덮밥,비빔, 밥 꽃 상추 깻잎 양파 당근 풋고추 참치 무순 참기름 통깨 고추장 장 고추장 물엿 식초 설탕 다진마늘 레몬즙 매실 액기스 
곤약비빔국수,비빔, 열무 실곤약 식초 고춧가루 까나리액젓 식초 국간장 마늘 참기름 설탕 매실액 통깨 
열무비빔국수,비빔, 국수 열무김치 오이 검은깨 고추장 매실액 참기름 고춧가루 
두릅비빔밥,비빔, 밥 두릅 달걀 오이 당근 포도씨유 소금 약고추장 돼지고기 소고기 고추장 올리고당 다진마늘 맛술 후추
김치비빔국수,비빔, 김치 소면 애호박 새송이 버섯 설탕 소금 참기름 깨소금 김 식초 초고추장 
비빔면,비빔, 소면 토마토 양파 피클슬라이스 옥수수 통조림 소금 토마토소스 칠리소스 핫소스 마요네즈 피클즙 
새싹채소비빔밥,비빔, 새우살 밥 새싹채소 베이비채소 무순 클로버 적양배추싹 참기름 초고추장 고추장 설탕 식초 다진 마늘 통깨 
간장비빔국수,비빔, 국수 소고기 다짐육 표고버섯 오이 목이버섯 지단 소금 소고기 밑간 간장 설탕 참기름 마늘 소주또는 청주 후추 간장 설탕 참기름 통깨 
불고기김밥,비빔, 밥 새싹채소 계란 당근 볶은불고기 김밥용김 소스 고추장 레몬즙 식초 설탕 작은술 마요네즈 
비빔쫄면,비빔, 쫄면이나 국수 양배추 오이 콩나물 당근 달걀 통깨 참기름 취향껏 사과 초고추장 소스 설탕 식초 사과 간 것 다진 마늘 고추장 참치진국 
열무비빔국수,비빔, 소면 열무김치 통아몬드 고춧가루 고추장 설탕 통깨 매실액 다진파 다진마늘 참기름 
날치알비빔밥,비빔, 달걀노른자 당근 오이 밥 날치알 소금 참기름 검정깨 기름 
참치새싹샐러드,비빔, 양상추 새싹채소 샐러드채소아무거나 방울토마토 올리브 오일 발사믹식초 다진 마늘 유기농 꿀 소금 작은술 바질 잎 
떡비빔라면,비빔, 사리면 참기름 떡 집에있는채소파프리카양파양배추등 참기름 떡 간장 후추가루 참기름 고추장 매실청 올리고당 다진마늘 다진파 참기름 깨소금 
삼겹살비빔면,비빔, 소면 삼겹살 약 양파 상추 깻잎 오이 고추장 고춧가루 식초 설탕 매실엑기스 물 
골뱅이비빔국수,비빔, 오이 당근 골뱅이 대파 양파 생소면 참기름 상추 고추장 고춧가루 설탕 식초 깨소금 간장 다진마늘 골뱅이국물 소금 단촛물 설탕 식초 소금 
쇠고기새싹비빔밥,비빔, 다진 쇠고기 새싹채소 밥 통깨 고기 간장 맛술 다진 마늘 후춧가루 꿀고추장 고추장 식초 꿀 배즙 양파즙 다진 마늘 깨소금 참기름 
간장비빔국수,비빔, 소면 소고기 표고버섯 오이 달걀 간장 설탕 참기름 표고고기 간장 참기름 설탕 깨 소금 파 마늘 
훈제오리비빔국수월남쌈,비빔, 소면 라이스페이퍼 훈제오리 양파 노랑파프리카 빨강파프리카 피망 오이 고추장 고춧가루 식초 설탕 매실엑기스 물 
냉비빔모밀,비빔, 모밀면 양파 노랑 파프리카 빨강 파프리카 상추 오이 양상추 당근 간장 올리고당 식초 검은깨 
백김치지라시초밥,비빔, 백김치 현미밥 오이 달걀 당근 날치알 새싹 백김치 참기름 설탕 통깨 배합초 식초 설탕 레몬즙 소금 
새싹채소비빔밥,비빔, 멥쌀 새싹채소 당근 애호박 식용유 다진 마늘 소금 물 참기름 약고추장 돼지고기 다짐육 고추장 양파 다진 마늘 맛술 후춧가루 식용유 
새싹열무비빔밥,비빔, 상추 오이 새싹 밥 통깨 열무김치 고추장 고추가루 작은술 참기름 다진마늘 매실액기스 식초 설탕 
비빔냉면,비빔, 냉면 시판물냉면육수 무 물 간장 생강 큰거 사과 배 양파 고춧가루 황설탕 사이다 마늘 다진파 올리고당 소금 참기름 
