CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
닭간장조림,조림, 토막낸 닭 우유 진간장 핫소스 마늘 청주 생강즙 참기름 황설탕 후춧가루 다시마물 
치킨샌드위치,조림, 식빵 토마토 치즈 닭가슴살 양상추 머스터드소스 마요네즈 데리야끼 소스 간장 설탕 맛술 다진 마늘 레몬즙 
쇠고기장조림 ,조림, 쇠고기 장조림용 홍두깨살 고기삶는물 물 마늘 생강 대파 흰 부분 청양고추나 마른 고추 청주 조림장 간장 맛술 흑설탕 물엿 마른고추 
닭고기고추장조림,조림, 닭날개 닭봉 생강 마늘 식용유 고추장 고춧가루 굴소스 물엿 간장 요리술 후추 깨 
닭고기땅콩조림,조림, 닭다리살 뼈발린것 녹말가루 땅콩 닭밑간 다진마늘 소금 후춧가루 꿀간장소스 간장 꿀 식초 청주 
삼치감자조림,조림, 삼치 감자 무 양파 당근 파 청양고추 깻잎 마늘쫑 물 간장 고춧가루 다진마늘 고추장 된장 미림 참기름 설탕 깨 소금 후추 
버섯메추리알조림,조림, 삶은 메추리알 느타리버섯 팽이버섯 표고버섯 물 간장 다진마늘 후추 고춧가루 설탕 물엿 
고추장달걀조림,조림, 달걀 국물용 멸치 다시마 물 참기름 통깨 장 고추장 간장 고춧가루 설탕 물엿 굴소스 다진마늘 다진 청양고추 맛술 
오징어채조림,조림, 오징어채 대파나 쪽파 썬것 식용유 고추장 다진 마늘 생강즙 간장 설탕 물엿 청주 물 참기름 통깨 
달걀장조림,조림, 달걀 식초 소금 멸치 다시마 물 간장 맛술 설탕 대파 양파 마늘 청양고추 통후추 
새송이장조림,조림, 새송이 큰것 양파 작은것 홍고추 청고추 마늘 멸치다시마물 맛술 간장 설탕 생강가루 물엿 통후추 
알감자조림,조림, 알감자 소금 올리브유 고추기름 고춧가루 매실청 찬물 간장 설탕 올리고당이나 물엿 파슬리 통깨 
두부조림,조림, 부침용 두부 간장 설탕 다진파 다진마늘 고춧가루 통깨 참기름 소금 
오징어야채장조림,조림, 오징어 감자 가지 노랑파프리카 주황파프리카 쪽파 데리야끼소스 
복숭아조림,조림, 백도 천도복숭아 물 꿀
오리육포,조림, 넘버원덕 오리육포 마요네즈 고추장 고춧가루 설탕 간장 청주 물 물엿 통깨 
가자미조림,조림, 가재미전 양파 마늘 생강 간장 물 고춧가루 깨소금 
쇠고기장조림,조림, 쇠고기 다진 것 고기 밑간 다진마늘 청주 생강즙 후춧가루 조림 파 흰 부분 간장 맛술 물 물엿 
깻잎조림,조림, 깻잎 진간장 국간장 멸치다시마 육수 고춧가루 까나리액젓 다진 마늘 다진파 요리당 통깨 참기름 
복숭아병조림,조림, 과육이 단단한 복숭아 설탕 찬물 레몬즙 
오징어간장조림,조림, 덜마른오징어 간장 물엿 올리브유 통깨
우엉조림,조림, 우엉 간장 올리고당 통깨
꽈리고추메추리알조림,조림, 메추리알 꽈리고추 간장 물엿 맛술 통깨
돼지고기장조림,조림, 돼지고기등심 달걀 통마늘 꽈리고추 월계수잎 통후추 진간장 청주 꿀 참기름
소고기장조림,조림, 장조림용 소고기 통마늘 대파 생강 달걀 식초 고추 소금 간장 물 설탕 
검은콩두부조림,조림, 검은콩 양파 피망 고추가루 물 올리고당 파 마늘 간장
아몬드닭조림,조림, 닭고기 우유 슬라이스아몬드 마늘 올리브유 간장 물엿 참기름 청주
연근조림,조림, 통연근 진간장 물엿 청주 참기름 통깨
닭날개간장조림,조림, 닭날개 우유 청주 간장 굴소스 설탕 핫소스 다진마늘 물 바질 후춧가루 
갈치조림,조림, 갈치 무 멸치다시마 육수 파 청양고추 고추가루 고추장 간장 생강즙 맛술 설탕 
돼지고기감자조림,조림, 돼지고기 앞다리살 감자 청양고추 대파 깨소금 돼지고기 밑간 허브맛솔트 생강가루 조림 간장 다진마늘 올리고당 설탕 깨소금 생수 
