CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
연어덮밥,회, 생연어 양파 케이퍼 밥 와사비 있으면 무순 간장소스 간장 물 맛술 올리고당 식초 
굴카르파쵸,회,굴초회 굴 고추장 식초 다진마늘 쪽파 매실액 꿀 굴카르파쵸 굴 올리브오일 허브가루 후추 소금 라임즙 
연어초밥,회, 생연어 밥 계란 오이 시판 초밥소스 와사비 기름 케이퍼 
크래미연어롤,회, 생연어 양파 중간크기 고슬고슬한 밥 길게 썬 오이 크래미 김밥김 단촛물 식초 설탕 물 소금 홀스래디쉬 소스 마요네즈 피클 요리엿 양파 다진 것 소금 후추 
새우초밥,회,새우초밥 손질한 새우 정도 밥 깨소금 참기름 진간장 식초 홍새우 라면 라면 홍새우 달걀 대파 
고구마찹쌀도넛,회, 찹쌀가루 고구마 설탕 뷰코 코코넛 밀크 프리미엄 코코넛 채 식용유 적당략
연어덮밥,회, 연어 간장 설탕 양파 파 물 생강 고추냉이 식초 
연어타다끼,회,필수 생연어 소금 후추 양파 샐러드채소 유자폰즈 양조간장 다시마육수 맛술 유자청 다진마늘 
해삼,회, 손질 해삼 초고추장 참기름장 
새우초밥케이크,회, 쌀밥 중하 쇠고기다짐육 우엉조림 오이 조미유부피 삼각모양 유부초밥소스 케이크 틀 지름 높이 쇠고기볶음 간장 설탕 다진 마늘 참기름 후추 깨소금 
연어회덮밥,회,덮밥 연어 아보카도 로메인상추양상추등 회초고추장 회초고추장 고추장 식초 꿀 매실청 와사비 참기름 볶은통깨 
전복회,회, 활전복 초고추장 
육우초밥,회, 소고기 생새우 오이 문어 크래미 날치알 밥 초밥용식초 초밥용간장 마요네즈 머스타드 설탕 겨자 소금 
연어초밥,회, 연어 밥 생고추냉이 방울토마토 참나물 단촛물 물 식초 설탕 소금 참나물 샐러드 참나물 참치 액 고춧가루 참기름 깨소금 
카르파치오,회, 광어회 문어숙회 데친소라 올리브오일 레몬즙 소금 후추 허브가루 오렌지 
물회,회, 전복 해삼 갑오징어 작은거 양파 당근 오이 깻잎 홍고추 청양고추 다시마물 초고추장 다진마늘 사이다 통깨 
전복손질,회, 생물 전복 회로 썰고싶은대로 세척용 브러쉬 새 철수세미 
훈제연어덮밥,회, 훈제연어 날치알소주 어린잎채소새싹채소 양파식촛물 마요소스 다진양파 마요네즈 홀스래디쉬소스 레몬즙 매실액 초밥 밥 식초 매실액 소금 
스시볼,회, 연어회 밥 배합초 비율 식초 설탕 소금 다시마생략가능 
연어물회,회, 횟감용 연어 어린잎 채소들 깻잎 오이 파프리카 양배추 설탕 식초 레몬즙 고춧가루 된장 고추장 다진마늘 다진생강 소금 물 얼음 
만두물회,회, 만두 양배추 양파 적양배추 당근 상추 깻잎 쑥갓 무순 계란 기름 물회육수 토마토 양파 레몬즙 냉면육수 간장 탄산수 고추장 올리고당 황설탕 매실청 다진마늘 연겨자 참기름 깨소금 
닭가슴살물회,회, 초고추장 식초 올리고당 매실청 탄산수 당근 채썬 양배추 청양고추 닭가슴살 
참치포케,회, 횟감용 참치 아보카도 오이 당근 어린잎채소 잔파 양파 고추 간장 맛술 식초 라임제스트와 즙 꿀 와사비 참기름 통깨 
전복해물물회,회, 전복 냉동가리비관자 냉동오징어 냉동새우 굵은소금 오이 양파 당근 양배추 육수 고추장 고춧가루 다진마늘 썬파 생강가루 양조간장 꿀 식초 청주 생수 연겨자 냉면육수 통깨 
전복해물물회,회, 전복 냉동가리비관자 냉동오징어 냉동새우 굵은소금 오이 양파 당근 양배추 육수 고추장 고춧가루 다진마늘 썬파 생강가루 양조간장 꿀 식초 청주 생수 연겨자 냉면육수 통깨 
홍어삼합,회, 홍어 돼지고기 묵은지 상추 미역 마늘 청양초 초고추장 막장 
연어덮밥,회, 훈제연어 밥 양파 생와사비 장 간장 물 맛술 매실액 올리고당 다진마늘 후추 톡톡
초밥케이크,회, 현미 현미찹쌀 검은콩 죽염 다시마 식초 매실액 설탕 소금 기타 닭가슴살 오징어 계란 두절새우 햄 당근 깻잎 머스터드 마요네즈 매실액
군함말이초밥,회, 밥 날치알레드 무순 맛술 구운김 와사비 배합초 식초 설탕 소금 
간장연어덮밥,회, 밥 생연어 식초 간장 무순 채 썬 양파 케이퍼 어니언 소스 
소고기사시미,회, 육우 홍두깨살 애호박 가지 양파 소금 페퍼민트 참기름 흑임자 와사비 소스 간장 설탕 미원 참기름 미림 매실액 흑임자 와사비파우더 간생강 간마늘 청주 계란 소금 오렌지 슬라이스칩 오렌지 
한치물회,회,필수 한치 오이 고추 깻잎 상추 양파 장 된장 고춧가루 다진마늘 식초 소금 설탕 참기름 물 
연어,회,샌드위치 생연어 크림치즈 양상추 초밥 밥 와사비 연어 연어덮밥 상추 초고추장 밥
연어물회,회, 횟감 연어 양배추 오이 양파 당근 사과 상추 고추장 고춧가루 식초 설탕 물엿 다진마늘 
굴초회,회,굴카르파쵸 굴 올리브오일 다진마늘 후추 소금 레몬즙 굴초회 굴 초고추장 썬 쪽파 
지라시스시,회, 밥 달걀 새우 슬라이스 연근 크래미 날치알 무순 밥 단촛물 식초 설탕 소금 연근 초절임 물 식초 설탕 비트 
참치마요초밥케이크,회, 밥 참치 계란 오이 당근 양파 마요네즈 설탕 소금 후추 장식용 마요네즈 단촛물 식초 설탕 소금 
지라시스시,회,필수 밥 연어 새우살 날치알 게살 애호박 초 생강 연근 달걀 무순 후리가케 단촛물 설탕 식초 물 
초고추장,회, 고추장 설탕 식초 다진 마늘 통깨 
연어스시볼,회, 연어 밥 와사비 다시마 단촛물 비율 식초 설탕 소금 
아보카도,회, 아보카도 기름장 들기름 소금 후추 
물미역,회, 곰피 물미역 고추장 설탕 식초 깨 
연어초밥,회, 연어 양파 쌀밥 마요네즈 꿀 레몬즙 소금 후추 식초 설탕 
연어말이,회, 생연어 치즈 적양파 치커리 케이퍼 씨겨자 
물회,회, 회 깻잎 상추 무순 새싹 굴 소스 고추장 고춧가루 식초 설탕 물 얼음
연어덮밥,회,소스 물 간장 식초 설탕 다진마늘 연어 양파 반 개 무순 밥 공기 생와사비
전복손질,회, 전복
물회,회, 세꼬시 횟감 오이 당근 배 다시마육수 소스 고추장 매실청 설탕 식초 레몬즙레몬청 사과 갈은것 다진마늘 
초밥,회, 새우 피조개 문어 초밥용소스 와사비 밥 
연어초밥,회, 생연어 유부초밥에 들어있는 식초 밥 
연어초밥,회, 연어 슬라이스 햇반 무쌈 노란색 파프리카 빨간색 파프리카 무순 양파 와사비 배합초 사과식초 설탕 소금 소스 마요네즈 꿀 파슬리가루 
연어덮밥,회, 연어 양파 밥 와사비 무슨 또는 어린잎채소 선택 날치알 레몬 간장 소스 진간장 물 설탕 맛술 다진 마늘 
회덮밥,회, 모듬 생선회 밥 파프리카 햇양파 당근 오이 상추 깻잎 어린잎 실고추 참깨 참기름 다진 마늘 초고추장 고추장 간장 물엿 식초 
연어덮밥,회, 연어 밥 양파 마른고추 마늘 진간장 물 레몬 다시마 맛술 생강술 설탕 
