CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
블루베리타르트,굽기, 아몬드슬라이스 분당 생지 버터 아몬드가루 박력분 소금 계란 설탕 스트로이젤 찬버터 설탕 박력분 소금 블루베리쨈 냉동블루베리 설탕 레몬즙 
사블레린처쿠키,굽기, 버터 삶은 노른자 슈가파우더 중력분 아몬드가루 라즈베리잼 또는 딸기잼 
피넛버터머핀,굽기, 박력분 버터 피넛버터 계란 우유 깔루아 설탕 베이킹 파우더 아이싱 인스턴트커피 슈가파우더 찬물 
스트로베리치즈케이크,굽기, 원형틀 또는 파이틀 한개분 크림치즈 설탕 플레인요거트 딸기 나빠쥬 생크림 판젤라틴 레몬즙 바닐라설탕 버터 파이지다이제스티브쿠키 대체가능 
초코브라우니,굽기, 초콜렛 버터 설탕 우유 계란 커피술 박력분 베이킹파우더 호두 병조림 체리 샹티크림 
바베큐립,굽기, 등갈비 통후추 정향 청주 월계수잎 바비큐립소스 바비큐소스 케찹 진간장 황설탕 핫소스 육수 마늘가루 
빵푸딩,굽기, 식빵 달걀 우유 생크림 바나나 크렌베리 건포도 설탕 바닐라오일 슈가파우더 계피가루
초코버터케이크,굽기, 버터 설탕 달걀 박력분 코코아가루 베이킹파우더 물 버미셀리 장식용 택 슈가파우더 
베치번즈,굽기, 제빵용 백미가루 인스턴트 드라이 이스트 소금 설탕 계란 우유 버터 표면에 바를 계란물 
김치삼겹살말이,굽기, 삼겹살 깻잎 신김치 허브솔트 후춧가루 머스타드소스 
감자계란그라탕,굽기, 계란 감자 양파 피자치즈 소금 파슬리가루 크림소스 버터 밀가루 우유 
모카머핀,굽기, 박력분 아몬드가루 달걀 버터 설탕 베이킹파우다 커피액기스 우유 바닐라오일 초코칩 
떡볶이그라탕,굽기, 떡볶이떡 쫄면 대파 양파 어묵 피자치즈 버터 물 굴소스 간장 고춧가루 설탕 요리당 고추장 
김치볶음밥그라탕,굽기, 아삭한김치 베이컨 청피망 양파 슬라이스치즈 피자치즈 밥 굴소스 김치국물 오일 파슬리가루 
뮈슬리크런치쿠키,굽기, 박력분 버터 베이킹 파우더 베이킹 소다 계란 흑설탕 흰설탕 콘플레이크 유기농 뮈슬리 
허브빵,굽기, 흑미 박력쌀가루 베이킹파우더 작은술 설탕 또는 허니파우더 파슬리가루 바질가루 버터 우유 계란 소금 작은술 사각틀사방 
또띠아피자,굽기, 또띠아 양파 새송이버섯 빨강 파프리카 노란 파프리카 청피망 햄 피자치즈 파슬리가루 의 오일 슬라이스치즈 시판 피자소스 
수플레치즈케이크,굽기, 박력분 크림치즈 플레인 요거트 설탕 생크림 블루베리 레몬즙 설탕 노른자 레몬즙 바닐라설탕 제누와즈 머랭 흰자 설탕 
초코쉬폰,굽기, 노른자 우유 박력분 흰자 설탕 코코아가루 설탕 
오렌지갈레트,굽기, 노른자 박력분 바닐라 오일 오렌지제스트 버터 설탕 소금 
쿠키,굽기, 버터 슈가파우더 박력분 베이킹파우더 우유 아이싱 슈가파우더 레몬즙 사탕 정도
참깨베이글,굽기, 강력분 호밀가루 드라이이스트 소금 물 설탕 깨 
크림치즈머핀,굽기, 버터 크림치즈 설탕 달걀 아몬드가루 강력분 박력분 베이킹파우더 머핀속 크림치즈 머핀 위 토핑 크림치즈 포피시드 
크랜베리버터케이크,굽기, 버터 설탕 달걀 박력분 우유 바닐라오일 크랜베리 럼주 
